epoch,train_loss,valid_loss,f1_quality,f1_defects_weighted,f1_final,good_rejected,bad_accepted,weighted_ap,seconds,name,seed,crossfit_f1_final,crossfit_quality_f1,crossfit_good_rejected
8.0,0.1518125923727066,0.2198663373474347,0.6004842615012107,0.647154058326895,12.476383198281056,59.0,106.0,0.7301943175674513,19.688416040997257,patch_only336_consistent,42,12.69950417362577,0.6016260162601627,72
6.0,0.13809853267642,0.1614015712453906,0.591743119266055,0.6631408045053554,12.548839237714104,54.0,124.0,0.7301884227012343,19.41820262500005,patch_only336,42,13.119716507706292,0.640625,60
5.0,0.142377638277154,0.1637507501779178,0.5306122448979592,0.6425246382714422,11.731368831694017,53.0,177.0,0.7297622903196878,8.86316749999969,patch_max,42,12.46554784224379,0.5898876404494382,78
6.0,0.1381752585446345,0.1633334992905478,0.5650224215246636,0.643945084011284,12.089675055359477,57.0,137.0,0.7295228912134147,239.9556402919989,adapt_last2,42,12.841650423324529,0.6133333333333333,68
8.0,0.1509097601966085,0.2204796749705626,0.6053268765133172,0.6414488754802228,12.467757519935398,58.0,105.0,0.7295052556210233,19.709877917000995,patch_only336_aux,42,12.8525672076843,0.6132596685082873,72
8.0,0.1218410402906422,0.1668051110026007,0.5508474576271186,0.6423544660178522,11.932019236449708,53.0,159.0,0.729491806886153,19.21094783300032,patch_attention336,42,12.608504547215365,0.5983379501385041,75
4.0,0.061607196154405,0.06234906838926,0.0,0.5021338300418814,5.0213383004188135,183.0,0.0,0.728120050874812,18.943089333002717,patch_only336_asl,42,12.958364987104208,0.6295264623955432,70
8.0,0.1411484961178524,0.165332974760041,0.556,0.6328607803490466,11.888607803490467,44.0,178.0,0.7245758230321773,222.0847612080015,adapt_last1,42,12.864663114937564,0.6166219839142091,68
5.0,0.0960865444850616,0.1168901711139449,0.0837696335078534,0.5153901788907459,5.991598123985993,175.0,0.0,0.7229833061283384,25.74746120800046,patch_only336_asl_aux,42,12.759205567918624,0.6091954022988506,77
6.0,0.1406686793768495,0.168458340616281,0.567287784679089,0.6425139544156676,12.098017390947566,46.0,163.0,0.7156065357116883,9.616197833000117,patch_only,42,12.288448535044896,0.5676392572944297,76
6.0,0.1422164177394311,0.1692730597762009,0.5465346534653466,0.624098528995595,11.706331824609414,45.0,184.0,0.7150626487076289,9.39298104199952,patch_attention,42,12.306138973407776,0.5845272206303725,81
8.0,0.165026349551727,0.167861076358659,0.495697074010327,0.5990226245508289,10.94719698561156,39.0,254.0,0.707339117325643,227.242383290999,adapt_lora,42,11.855594563692753,0.5490196078431373,71
8.0,0.1423316267654494,0.1692157547289669,0.4615384615384615,0.6003799449193191,10.619184064577809,57.0,237.0,0.7058650062609467,3.2022993749997113,global336,42,12.042269081173878,0.56575682382134,69
8.0,0.1444948868327945,0.1703368167003234,0.50853889943074,0.6128635035337553,11.214024029644952,49.0,210.0,0.7027420373594694,8.38825212499978,patch_mean,42,12.026972228482103,0.5669291338582677,75
8.0,0.148253605907188,0.1726755536905641,0.5027932960893855,0.6061026165029313,11.088959125923168,48.0,219.0,0.69837092498116,1.6930546250005136,global224,42,12.109139850613744,0.5636856368563685,79
5.0,0.1563583099966898,0.1734138284455283,0.490566037735849,0.6102292412789648,11.007952790148138,66.0,177.0,0.6942937145308601,3.1475158339999325,view_shared,42,11.67277297788647,0.5367088607594936,77
6.0,0.1465018801750001,0.1733085717678568,0.5169811320754717,0.5979135119574897,11.148946440329611,46.0,210.0,0.6940230498214578,3.4843946660002985,view_special,42,11.589430515309736,0.5319148936170213,83
6.0,0.1466916158553505,0.1733394797564051,0.518796992481203,0.5980771376097616,11.168741300909646,45.0,211.0,0.6936102557268053,2.9897226670000236,view_topk,42,11.983533195711182,0.5633074935400517,74
6.0,0.1453836187611075,0.1740586494489195,0.4878048780487805,0.5917059273839154,10.795108054326958,53.0,220.0,0.6935420364693531,3.1426064999996015,view_top1,42,11.959017393192608,0.5526315789473685,78
5.0,0.156534217539102,0.175442980993617,0.5019157088122606,0.596435939052177,10.983516478644376,52.0,208.0,0.6931928874757252,2.690357249999579,view_class,42,11.654662865751868,0.5347043701799485,79
8.0,0.1761327864135084,0.1787964505977367,0.4580838323353293,0.5562267503237074,10.143105826590366,30.0,332.0,0.6734784868926521,224.06061958400096,adapt_norm,42,11.1467759270846,0.509090909090909,85
8.0,0.1761983889850412,0.1788391837741104,0.4580838323353293,0.5562267503237074,10.143105826590366,30.0,332.0,0.6733609370235902,5.132518792001065,adapt_frozen_control,42,11.153705978089777,0.5076142131979695,83
