epoch,train_loss,valid_loss,f1_quality,f1_defects_weighted,f1_final,good_rejected,bad_accepted,weighted_ap,seconds,name,seed
1,0.2271499422035565,0.179088133248933,0.4607843137254901,0.5360477822133445,9.968320959388349,42,288,0.6704336234061401,18.447024417000648,patch_only336,123
2,0.177282554727701,0.1686119699217457,0.5508771929824562,0.5809807664552422,11.318579594376985,26,230,0.7054694436698178,18.9930740000018,patch_only336,123
3,0.1636889272385047,0.1683724628202227,0.6042154566744731,0.6403199525651793,12.445354092396524,54,115,0.72274017563645,19.64289012500012,patch_only336,123
4,0.154865749841946,0.1640247936277732,0.589010989010989,0.6319228268708601,12.209338158818491,49,138,0.7198981624996683,19.74480158400183,patch_only336,123
5,0.1453848647728504,0.1633739696886238,0.5636363636363636,0.6336225913100578,11.972589549464214,59,133,0.7255163807037586,19.755171709002752,patch_only336,123
6,0.1377134127267551,0.1650114524050101,0.6008771929824561,0.6501146503903621,12.50991843372818,46,136,0.7311464162593209,18.74387058299908,patch_only336,123
7,0.1308425030157491,0.1702750872826948,0.6634146341463415,0.650008637099243,13.134232712455844,47,91,0.7263936768968365,19.18915329199808,patch_only336,123
8,0.1234373034603213,0.1698753591204816,0.6330935251798561,0.6533284512045267,12.864219763843828,51,102,0.7264297144725309,20.008097083002212,patch_only336,123
9,0.1143832839025609,0.1745590912078304,0.57,0.661372028378429,12.313720283784289,69,103,0.7285343105277914,20.637640458000533,patch_only336,123
10,0.1084622267673202,0.1819193042772111,0.6088992974238876,0.6570229612661297,12.65922258690017,53,114,0.7207535560781348,21.770016417001894,patch_only336,123
11,0.1009609490561519,0.1824315977124364,0.580952380952381,0.6555749911989773,12.365273721513583,61,115,0.7227650107323893,21.275551624999935,patch_only336,123
12,0.0941583294186638,0.1943801782553134,0.5546666666666666,0.6600382519631446,12.147049186298112,79,88,0.7135480393660534,20.44881845800046,patch_only336,123
13,0.0859603099094485,0.2017245313108619,0.5700483091787439,0.6437379027651958,12.137862119439395,65,113,0.7100718331001199,19.878298666000777,patch_only336,123
14,0.0775026847063781,0.2199757176496519,0.5665961945031712,0.6401764479395303,12.067726424427017,49,156,0.7144897379981598,20.37100308400113,patch_only336,123
15,0.0706429613198741,0.2222985489858266,0.5402597402597402,0.6609164811148021,12.011762213745422,79,98,0.7057774216752511,18.379017833001853,patch_only336,123
16,0.0633300637530393,0.2253464338640699,0.5742092457420924,0.6448186838946266,12.19027929636719,65,110,0.7028486261918647,17.775138708002487,patch_only336,123
17,0.0576343303751128,0.2487662307836073,0.5415549597855228,0.6384734739833433,11.800284337688662,82,89,0.7024409121844163,18.31523266700242,patch_only336,123
18,0.051955144649462,0.2768969778123079,0.5536992840095465,0.6388147470359234,11.925140310454696,67,120,0.6976417281113922,18.14949470800275,patch_only336,123
19,0.0468071729211329,0.2878549410447327,0.5864661654135338,0.645257287993681,12.317234534072147,66,99,0.6937228538066894,20.10437599999932,patch_only336,123
20,0.0423920181033107,0.2986533756013923,0.5614849187935035,0.6422221232941158,12.037070420876193,62,127,0.7003574600109824,18.55894195899964,patch_only336,123
1,0.2294325847203077,0.1801279949749114,0.4816955684007707,0.5897611073487923,10.714566757495628,58,211,0.6746838613976487,19.55525225000019,patch_only336,42
2,0.1771778763546388,0.1676907073277746,0.5439330543933054,0.6166092638582269,11.605423182515322,53,165,0.7002605009138517,19.495678416000377,patch_only336,42
3,0.1626300020466183,0.1748302999463041,0.5798816568047337,0.6020778559786664,11.819595127834004,36,177,0.715974024183358,19.468495583998447,patch_only336,42
4,0.154983274702541,0.1671994977056878,0.57847533632287,0.6198553173968514,11.983306537197214,54,134,0.7237199499039412,19.4408898340007,patch_only336,42
5,0.1455279061984007,0.1689232051900293,0.5866666666666667,0.6390831779960771,12.257498446627435,51,135,0.7201339138187116,19.234787792000137,patch_only336,42
6,0.13809853267642,0.1614015712453906,0.591743119266055,0.6631408045053554,12.548839237714104,54,124,0.7301884227012343,19.41820262500005,patch_only336,42
7,0.1299336726444009,0.1673741778657161,0.6022471910112359,0.6444171913879349,12.466643823991708,49,128,0.7224877826367453,19.509395582999787,patch_only336,42
