split,f1_quality,f1_defects_weighted,f1_final,good_rejected,bad_accepted,weighted_ap
calibration,0.7473903966597077,0.6962245036126197,14.436149002723276,50,71,0.7460408779413629
check,0.6455696202531646,0.6762012832739724,13.217709035271369,76,92,0.7284631641574009
