epoch,train_loss,valid_loss,f1_quality,f1_defects_weighted,f1_final,weighted_ap,seconds
1,0.2772020343211309,0.2554067901986413,0.31366906474820144,0.29026435965844444,6.039334244066459,0.44289614466782484,40.60524854200003
2,0.25402358304143574,0.24091048114095273,0.3455621301775148,0.32177693404554647,6.673390642230613,0.4716670287280475,40.00074200000017
3,0.2452820469977344,0.22750576154083388,0.3273453093812375,0.30600223795494574,6.333475473361833,0.5038893503262369,40.190356583000266
4,0.23733526619004955,0.24126025096018444,0.3319615912208505,0.3307707618368884,6.627323530577389,0.4869065296773533,40.42192158299986
5,0.2340077448577781,0.22449939644361638,0.36704119850187267,0.37128486603132466,7.383260645331973,0.5071336673579261,40.354905000000144
6,0.22914605456184967,0.22814476071665976,0.36065573770491804,0.36539222705562974,7.260479647605478,0.5172005750638515,72.329124417
7,0.22523436975416714,0.22677248167692368,0.36941176470588233,0.37564417328266336,7.450559379885457,0.5153594918035664,86.39747420799995
8,0.2222922956381793,0.23114747283473674,0.36772486772486773,0.3424810485025859,7.102059162274537,0.515481425217982,47.20193554200023
9,0.21788064033261145,0.2270406149358929,0.36661698956780925,0.3953410462710165,7.619580358388258,0.5126091380201317,45.92440262500031
10,0.2137111344590237,0.22439793663793028,0.3684210526315789,0.3827468321422113,7.511678847737902,0.5152965950800721,41.17089233300021
11,0.21031605958158434,0.22019400457582713,0.381635581061693,0.43064344392578163,8.122790249874747,0.5309166328864756,36.77304316600021
12,0.20630700737862062,0.22626715455843316,0.39316239316239315,0.43203901594669375,8.252014091090869,0.5271491546447632,37.15211520799994
13,0.20426431443522738,0.21684810999921175,0.3622641509433962,0.3863844996454874,7.486486505888836,0.530420510150494,38.32607837500018
14,0.19911688428976773,0.2241964088885355,0.3751651254953765,0.40577943093104285,7.809445564264193,0.5177466194632618,37.72711187499999
15,0.1952262397820413,0.22031498906128577,0.386013986013986,0.41847013923310666,8.044841252470928,0.5297922571722922,37.036602333000246
16,0.18954986516405775,0.2203696470567372,0.3787661406025825,0.4278220284298262,8.065881690324087,0.5324368406173747,37.89355949999981
17,0.186216925824968,0.2268408175105829,0.37375178316690444,0.43967754262268616,8.134293257895905,0.5323161372831616,36.833060332999594
18,0.18265403166647357,0.2253082239478203,0.3704697986577181,0.4347184014061644,8.051882000638825,0.5345823818999056,36.14707687500004
19,0.1752439356092071,0.23197295572219034,0.3787465940054496,0.42675706397922253,8.055036579846721,0.5248699800648794,35.787169707999965
20,0.16947317663599684,0.23446776492201635,0.35600578871201155,0.43581626611431423,7.918220548263258,0.525594618412433,35.66820616699988
21,0.16285869059528355,0.2382214605808258,0.3898305084745763,0.4296659741715872,8.194964826461636,0.5183639455777203,35.895566000000144
22,0.15944707325459775,0.23943797594957272,0.3563025210084034,0.4536954233652406,8.099979443736439,0.5274317738964092,35.444196333000036
23,0.1505083947297166,0.24976352947651093,0.3691376701966717,0.42324600329857553,7.923836734952472,0.5249285176078596,35.5775620000004
24,0.14243865091217126,0.27165620801463786,0.3364485981308411,0.4454294401859225,7.818780383167637,0.5179378600244914,35.43354654099994
25,0.13707768845893636,0.2820290742122479,0.35353535353535354,0.4418725599181005,7.95407913453454,0.5091746969252487,35.48531862500022
26,0.13032910137783482,0.2942781515824745,0.3584905660377358,0.40870198629345367,7.671925523311895,0.5002372037953505,35.41167879100021
27,0.12243140718309667,0.28851632533213084,0.31297709923664124,0.4598188043087202,7.727959035453614,0.5075022141327372,35.549795124999946
28,0.11491631348485722,0.30950120449939034,0.33093525179856115,0.4354857210388696,7.664209728374307,0.4994797962275674,35.43756183400001
29,0.10850937423203628,0.3295470230187831,0.3661417322834646,0.45923402814357367,8.253757604270383,0.5086690648728395,36.347572624999884
30,0.10355656720298045,0.3067695078802408,0.3269961977186312,0.4503058843407221,7.7730208205935325,0.4986457523608751,36.09131675000026
